Gene,X1726FL.06.01.33_S33_L002_COMB_MONO,X1726FL.06.01.32_S32_L002_COMB_MONO,X1726FL.06.01.31_S31_L002_COMB_MONO,X1726FL.06.01.27_S27_L002_COMB_Filter,X1726FL.06.01.26_S26_L002_COMB_Filter,X1726FL.06.01.25_S25_L002_COMB_Filter,X1726FL.06.01.24_S24_L002_COMB_Filter,X1726FL.06.01.23_S23_L002_COMB_Filter,X1726FL.06.01.22_S22_L002_COMB_Filter,X1726FL.06.01.21_S21_L002_COMB_Filter,X1726FL.06.01.09_S9_L002_COMB_Tissue3,X1726FL.06.01.08_S8_L002_COMB_Tissue3,X1726FL.06.01.07_S7_L002_COMB_Tissue4,X1726FL.06.01.06_S6_L002_COMB_Tissue4,X1726FL.06.01.05_S5_L002_COMB_Tissue4,X1726FL.06.01.04_S4_L002_COMB_Tissue3,X1726FL.06.01.03_S3_L002_COMB_Tissue2,X1726FL.06.01.02_S2_L002_COMB_Tissue2,X1726FL.06.01.01_S1_L002_COMB_Tissue2
CHLRE_08g361551v5,64,61,103,0,0,14,14,24,14,2,21,42,13,0,0,12,0,0,9
CHLRE_08g361600v5,482,853,465,340,324,1163,206,720,113,65,1532,891,688,409,1238,1761,271,50,1110
CHLRE_08g361650v5,514,783,404,35,47,195,72,155,80,26,824,919,426,480,747,574,67,9,273
CHLRE_08g361700v5,10,29,11,5,4,1,6,6,1,2,62,45,25,0,0,45,4,0,14
CHLRE_08g361750v5,27,32,29,2,0,3,11,37,60,12,610,1029,145,0,431,16,0,0,6
CHLRE_08g361800v5,225,223,190,14,12,143,31,54,51,35,358,602,481,318,1152,254,76,19,209
CHLRE_08g361850v5,334,561,499,62,50,648,193,806,77,43,565,994,888,507,786,612,106,18,448
CHLRE_08g361900v5,353,482,297,30,34,64,94,97,123,64,402,506,128,167,43,254,10,2,41
CHLRE_08g361925v5,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,3
CHLRE_08g361950v5,696,747,586,42,73,302,134,258,200,117,2488,1706,1304,1074,2477,2741,638,122,1351
CHLRE_08g361984v5,42,58,39,2,2,8,8,18,22,1,41,63,38,0,153,23,3,0,10
CHLRE_08g362000v5,345,404,258,26,37,100,70,111,95,44,827,1202,514,314,417,430,127,39,299
CHLRE_08g362019v5,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2
CHLRE_08g362036v5,27,16,26,2,1,6,4,15,17,0,21,29,41,55,86,14,2,0,13
CHLRE_08g362050v5,389,414,336,11,60,96,61,116,89,29,725,790,461,432,877,505,107,18,215
CHLRE_08g362076v5,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CHLRE_08g362100v5,98,118,97,7,10,19,19,39,22,11,295,353,208,365,240,201,59,5,101
CHLRE_08g362150v5,196,241,139,10,15,63,25,57,39,20,184,440,240,102,479,179,52,5,75
CHLRE_08g362200v5,119,248,188,5,12,40,35,32,38,14,371,548,282,193,197,178,23,2,99
CHLRE_08g362250v5,138,322,223,15,30,101,54,88,107,36,558,521,516,457,747,741,83,11,451
CHLRE_08g362300v5,68,188,133,1,2,23,13,2,27,20,503,1078,574,527,964,162,25,4,129
CHLRE_08g362350v5,59,122,46,0,4,9,15,4,13,7,381,541,248,208,279,197,13,1,101
CHLRE_08g362400v5,100,160,109,3,9,18,18,14,20,20,234,322,297,440,271,215,4,9,66
CHLRE_08g362450v5,11458,15882,12871,480,651,2115,1386,1796,2302,1105,27729,27585,19820,22547,41417,18506,1710,334,4764
CHLRE_08g362500v5,6,34,6,0,0,4,0,17,0,0,12,18,22,32,19,11,0,0,1
CHLRE_08g362550v5,1287,1384,1632,51,65,286,101,227,170,64,944,813,674,485,1275,916,107,21,457
CHLRE_08g362600v5,7,64,0,33,71,105,3,15,0,0,208,54,12,77,0,261,20,3,69
CHLRE_08g362650v5,3397,6598,1044,42,54,259,204,185,498,250,2753,2444,873,912,1851,2240,104,20,609
CHLRE_08g362682v5,200,362,178,1,3,10,30,14,30,16,398,574,338,572,703,297,16,2,58
CHLRE_08g362700v5,400,515,300,11,10,19,37,84,53,36,146,322,58,0,0,59,8,0,6
CHLRE_08g362750v5,147,148,168,1,10,7,33,52,18,7,46,125,86,0,36,40,0,3,12
CHLRE_08g362776v5,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,14,5,12
CHLRE_08g362800v5,31,71,31,2,4,9,13,15,20,10,101,125,90,114,0,70,10,0,23
CHLRE_08g362850v5,35,69,34,0,2,9,5,7,26,8,48,129,78,91,130,33,1,0,27
CHLRE_08g362900v5,250,201,154,9,11,26,63,142,44,13,469,609,330,357,897,124,17,3,22
CHLRE_08g362950v5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
CHLRE_08g363000v5,0,3,1,0,0,5,0,0,2,0,0,2,1,0,0,2,5,0,5
CHLRE_08g363050v5,928,1214,1052,65,52,191,189,281,165,84,1054,1310,778,618,1078,930,97,5,380
CHLRE_08g363100v5,1,0,0,0,0,1,0,0,3,1,134,165,11,0,0,9,0,0,3
CHLRE_08g363150v5,27,6,10,0,0,0,2,0,1,0,46,59,1,0,0,20,3,0,4
CHLRE_08g363200v5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_08g363250v5,72,166,117,3,12,29,32,18,43,16,354,507,333,438,376,270,16,7,86
CHLRE_08g363267v5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
CHLRE_08g363283v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_08g363300v5,1005,1060,939,88,91,477,184,294,256,91,1477,1047,619,871,1501,1002,41,16,286
CHLRE_08g363350v5,2,5,2,3,1,1,9,7,1,3,0,22,12,17,0,12,0,0,0
CHLRE_08g363367v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_08g363383v5,1,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
CHLRE_08g363400v5,760,741,540,100,122,362,147,366,160,73,613,810,509,512,1341,466,66,8,91
CHLRE_08g363450v5,148,289,108,3,2,38,34,23,40,23,343,495,244,41,749,249,10,1,65
CHLRE_08g363500v5,144,119,130,6,8,54,36,104,19,12,89,117,51,149,0,27,5,0,18
CHLRE_08g363600v5,280,457,220,24,41,78,44,103,34,37,723,754,320,228,757,637,19,2,50
CHLRE_08g363650v5,4,7,5,1,0,1,2,0,0,1,4,19,13,0,64,22,0,0,0
CHLRE_08g363700v5,998,1205,785,25,39,89,183,571,172,83,1401,2176,1226,1245,2411,586,34,28,94
CHLRE_08g363750v5,1081,1294,724,126,128,481,147,557,180,72,1535,1399,814,756,1229,1057,88,11,351
CHLRE_08g363800v5,63,87,67,4,2,24,17,12,7,4,108,123,92,167,54,54,1,2,32
CHLRE_08g363837v5,37,74,50,1,4,7,7,5,4,6,24,109,151,3,110,68,0,0,52
CHLRE_08g363874v5,166,356,303,6,12,59,56,41,145,38,364,376,659,414,1054,507,46,9,120
CHLRE_08g363950v5,23,29,16,1,1,2,9,6,7,1,39,61,69,0,203,30,0,0,1
CHLRE_08g364000v5,44,21,43,1,6,10,9,8,21,9,35,22,48,0,57,6,13,2,101
CHLRE_08g364050v5,14,20,25,1,0,1,12,4,6,3,12,47,56,27,31,8,3,1,1
CHLRE_08g364100v5,8,6,3,9628,14349,20258,9419,52360,0,0,36634,29636,8911,9776,17573,26099,507,63,1664
CHLRE_08g364151v5,203,484,416,32,51,108,50,97,67,37,1312,1867,1122,816,1530,1309,306,99,977
CHLRE_08g364200v5,3,6,7,0,1,5,3,0,0,0,2,3,2,0,0,0,2,0,2
CHLRE_08g364250v5,2766,2964,2561,302,387,1209,537,1220,559,263,3970,3612,2787,2590,4720,3031,325,46,811
CHLRE_08g364300v5,774,1701,339,60,62,280,93,115,105,66,1095,1058,448,288,632,1024,36,2,166
CHLRE_08g364351v5,54,6,194,0,0,1,10,0,13,0,0,2,0,0,87,0,3,0,2
