Gene,X1726FL.06.01.33_S33_L002_COMB_MONO,X1726FL.06.01.32_S32_L002_COMB_MONO,X1726FL.06.01.31_S31_L002_COMB_MONO,X1726FL.06.01.27_S27_L002_COMB_Filter,X1726FL.06.01.26_S26_L002_COMB_Filter,X1726FL.06.01.25_S25_L002_COMB_Filter,X1726FL.06.01.24_S24_L002_COMB_Filter,X1726FL.06.01.23_S23_L002_COMB_Filter,X1726FL.06.01.22_S22_L002_COMB_Filter,X1726FL.06.01.21_S21_L002_COMB_Filter,X1726FL.06.01.09_S9_L002_COMB_Tissue3,X1726FL.06.01.08_S8_L002_COMB_Tissue3,X1726FL.06.01.07_S7_L002_COMB_Tissue4,X1726FL.06.01.06_S6_L002_COMB_Tissue4,X1726FL.06.01.05_S5_L002_COMB_Tissue4,X1726FL.06.01.04_S4_L002_COMB_Tissue3,X1726FL.06.01.03_S3_L002_COMB_Tissue2,X1726FL.06.01.02_S2_L002_COMB_Tissue2,X1726FL.06.01.01_S1_L002_COMB_Tissue2
CHLRE_02g141146v5,28,42,23,5,2,12,4,8,0,3,52,40,24,90,49,14,1,0,8
CHLRE_02g141150v5,55,106,34,4,3,19,5,14,25,8,183,184,100,121,243,143,7,0,16
CHLRE_02g141166v5,0,0,0,0,0,3,0,5,0,0,0,2,0,0,0,0,0,0,0
CHLRE_02g141186v5,0,0,2,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g141200v5,1062,1026,907,54,56,199,121,288,181,65,998,1308,809,933,1736,619,69,13,128
CHLRE_02g141206v5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CHLRE_02g141226v5,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,9,5
CHLRE_02g141246v5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g141250v5,1795,2104,1813,65,70,254,264,408,417,243,2624,3303,1839,1514,3165,2337,280,52,817
CHLRE_02g141266v5,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g141286v5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CHLRE_02g141306v5,3,5,1,2,1,9,2,5,0,0,10,2,3,0,0,6,0,0,0
CHLRE_02g141326v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g141346v5,7143,7309,3471,385,416,1067,837,2450,1075,557,5099,6731,5655,4091,7891,3500,774,198,1066
CHLRE_02g141350v5,1516,2007,644,38,59,97,119,155,245,107,1205,1299,391,530,1212,854,24,7,170
CHLRE_02g141351v5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g141366v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g141386v5,7,3,2,0,0,2,1,0,0,0,41,14,3,0,1,6,0,0,3
CHLRE_02g141400v5,4749,5126,6572,1806,1803,4939,1741,5893,1426,607,26768,33536,19827,19544,37635,13888,3202,889,12891
CHLRE_02g141406v5,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
CHLRE_02g141426v5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
CHLRE_02g141446v5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g141450v5,1376,1568,1130,54,64,270,163,240,240,83,1054,979,588,846,1467,553,32,27,183
CHLRE_02g141466v5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g141486v5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
CHLRE_02g141500v5,788,949,953,51,35,186,157,324,154,75,978,1452,1286,946,1976,647,112,36,277
CHLRE_02g141506v5,153,200,175,15,5,53,28,18,39,17,437,554,541,635,1212,286,30,1,98
CHLRE_02g141526v5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g141546v5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
CHLRE_02g141550v5,2125,2017,1862,163,172,349,382,820,462,197,470,588,213,636,320,208,42,2,90
CHLRE_02g141566v5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
CHLRE_02g141586v5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
CHLRE_02g141600v5,1,2,3,5,3,5,0,0,4,0,125,21,32,0,131,140,13,0,44
CHLRE_02g141606v5,4959,6988,1800,112,157,406,375,423,719,447,4210,3864,1654,1412,3353,3066,213,64,763
CHLRE_02g141626v5,20,71,38,0,2,0,3,0,9,3,18,88,70,126,176,27,7,0,4
CHLRE_02g141646v5,134,166,132,14,10,31,29,29,26,9,135,397,101,158,164,74,3,0,6
CHLRE_02g141666v5,10,24,19,0,1,14,2,8,6,1,52,65,30,0,0,26,5,5,14
CHLRE_02g141686v5,129,120,83,14,13,52,26,43,24,11,107,111,36,62,31,66,54,3,112
CHLRE_02g141700v5,79,227,59,2,0,2,5,4,31,6,174,134,67,113,99,103,3,4,38
CHLRE_02g141701v5,440,476,520,36,66,78,34,63,38,35,394,318,248,212,811,457,122,2,33
CHLRE_02g141706v5,524,489,272,22,32,65,74,124,87,39,600,948,541,435,1330,339,51,11,70
CHLRE_02g141726v5,1,6,0,0,0,0,0,0,0,0,5,4,0,0,0,3,0,0,0
CHLRE_02g141746v5,9,4,8,1,1,3,0,1,0,0,0,9,7,16,0,10,0,0,4
CHLRE_02g141766v5,3,9,2,0,0,2,2,0,0,1,0,1,13,0,0,0,1,0,0
CHLRE_02g141786v5,1,11,0,0,0,1,0,3,0,0,1,7,41,1,0,5,0,0,0
CHLRE_02g141800v5,132,188,60,0,0,1,9,1,24,7,16,42,8,0,0,0,3,0,0
CHLRE_02g141806v5,1583,1874,1614,7,17,68,79,91,155,108,336,441,189,125,314,309,45,9,79
CHLRE_02g141826v5,2,5,6,0,0,0,0,0,0,0,5,1,2,55,0,2,0,0,0
CHLRE_02g141846v5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
CHLRE_02g141850v5,297,397,243,3,10,33,50,82,43,30,132,217,101,19,192,51,0,0,15
CHLRE_02g141866v5,0,0,1,2,0,0,0,0,0,0,9,1,0,0,0,0,3,0,0
CHLRE_02g141886v5,56,88,81,5,4,3,22,18,31,8,146,134,26,0,81,82,6,4,17
CHLRE_02g141900v5,450,483,333,45,47,154,86,180,104,41,295,436,254,352,882,137,21,5,42
CHLRE_02g141906v5,36,69,20,2,2,11,8,9,2,5,21,13,35,0,0,46,5,0,14
CHLRE_02g141926v5,18,19,5,1,0,3,1,2,8,2,47,160,119,0,480,24,33,1,72
CHLRE_02g141946v5,25,24,6,0,2,1,4,7,0,1,31,15,11,77,83,3,3,2,3
CHLRE_02g141950v5,515,525,480,13,9,37,39,17,51,30,258,292,84,90,158,135,7,0,39
CHLRE_02g141966v5,111,149,22,0,1,2,5,12,10,5,20,30,11,0,0,13,7,0,28
CHLRE_02g141986v5,2,4,5,0,0,0,1,0,1,0,0,5,0,0,0,0,3,0,9
CHLRE_02g142000v5,960,898,806,30,35,224,58,144,89,61,306,329,154,243,174,138,72,9,132
CHLRE_02g142006v5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
CHLRE_02g142026v5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CHLRE_02g142046v5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
CHLRE_02g142050v5,28,45,27,1,0,23,5,6,12,6,108,131,110,114,155,21,8,1,50
CHLRE_02g142066v5,1116,1869,583,17,26,125,110,116,174,87,1201,1393,414,405,670,812,33,0,152
CHLRE_02g142086v5,2738,2681,2002,142,155,554,306,723,477,186,1748,2098,1173,1082,2006,1182,182,39,414
CHLRE_02g142100v5,166,251,170,13,12,52,17,19,18,18,185,170,190,111,171,275,17,0,253
CHLRE_02g142106v5,12,23,4,0,0,2,0,0,1,0,0,9,1,0,0,0,0,0,4
CHLRE_02g142126v5,4593,5687,1472,168,165,573,382,703,643,366,3813,3226,1272,1398,3299,2828,239,53,552
CHLRE_02g142146v5,2221,2162,1283,176,197,402,449,1419,506,191,2774,3614,1649,2094,3900,1495,212,43,292
CHLRE_02g142150v5,131,106,127,21,19,86,21,68,29,8,231,268,273,369,420,142,19,2,30
CHLRE_02g142166v5,868,2047,457,29,13,61,82,84,229,113,1644,1738,679,432,1044,1303,79,17,295
CHLRE_02g142186v5,148,567,46,32,34,35,46,209,19,5,209,240,93,53,470,216,7,0,28
CHLRE_02g142200v5,234,264,130,21,32,67,38,47,31,12,297,380,303,324,714,132,13,3,85
CHLRE_02g142206v5,6776,7444,8444,1568,1532,5142,1672,5980,1297,688,21007,13601,14370,14862,27761,18002,1067,217,2792
CHLRE_02g142226v5,278,480,325,12,11,41,56,95,93,43,775,1030,594,187,1040,543,21,0,219
CHLRE_02g142246v5,804,812,614,23,45,80,160,340,257,86,882,1754,847,428,2108,286,105,16,211
CHLRE_02g142266v5,1820,1640,778,124,154,238,356,1026,397,180,2330,4130,1578,1696,3068,501,47,10,127
CHLRE_02g142286v5,22,102,70,1,2,11,16,9,44,5,99,158,127,22,154,142,14,2,49
CHLRE_02g142306v5,80,106,62,4,4,33,11,33,15,8,216,218,54,0,250,106,22,1,18
CHLRE_02g142326v5,51,81,25,2,5,9,4,7,26,12,43,52,34,32,103,66,1,0,17
CHLRE_02g142346v5,257,245,204,21,31,73,38,96,35,18,305,322,193,33,715,230,28,6,84
CHLRE_02g142350v5,1093,1089,869,127,136,382,156,488,194,78,1217,1758,1086,1266,1972,762,74,25,187
CHLRE_02g142351v5,1160,2308,1182,40,44,226,241,190,370,167,3068,3355,2508,2379,5631,2314,238,43,984
CHLRE_02g142352v5,39,55,76,1,5,6,18,22,31,15,140,124,180,269,598,93,15,2,52
CHLRE_02g142353v5,3,6,4,0,0,1,0,0,0,0,0,1,8,42,0,1,0,0,9
CHLRE_02g142366v5,433,1855,152,95,130,295,103,474,24,11,1384,652,343,549,485,1468,202,57,281
CHLRE_02g142386v5,13,20,3,0,0,1,0,1,1,2,0,0,5,0,0,11,2,0,1
CHLRE_02g142400v5,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0
CHLRE_02g142406v5,0,1,1,0,0,1,0,0,0,0,0,0,5,0,0,6,0,0,0
CHLRE_02g142426v5,3,3,4,0,0,0,1,2,2,0,17,2,7,18,1,2,0,0,0
CHLRE_02g142446v5,5,6,0,0,0,0,1,0,0,0,0,0,4,0,58,0,0,0,0
CHLRE_02g142466v5,1,5,0,1,1,0,0,0,0,0,0,0,1,0,92,2,0,0,0
CHLRE_02g142486v5,12,5,5,1,0,4,2,5,0,0,0,5,9,0,0,2,0,0,0
CHLRE_02g142506v5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g142526v5,0,0,5,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0
CHLRE_02g142546v5,10,11,1,4,1,4,3,17,2,0,27,32,19,0,0,5,6,0,21
CHLRE_02g142566v5,12,28,6,4,1,12,1,11,1,2,11,34,6,0,0,10,17,4,23
CHLRE_02g142586v5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g142600v5,3129,2632,1298,86,91,231,165,232,365,222,4900,7684,3970,4327,5175,2572,401,111,453
CHLRE_02g142601v5,255,540,182,0,1,0,82,35,201,71,195,800,217,189,472,80,1,0,0
CHLRE_02g142602v5,61,119,154,0,3,0,17,1,40,6,5,65,23,4,39,9,3,2,30
CHLRE_02g142604v5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
CHLRE_02g142605v5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g142606v5,3,3,5,0,0,3,4,0,1,0,0,3,0,0,0,0,0,0,0
CHLRE_02g142607v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g142627v5,159,223,110,10,10,17,30,41,60,15,63,159,137,0,166,54,15,1,38
CHLRE_02g142647v5,11,16,2,0,1,1,0,4,4,3,6,0,2,0,0,0,0,0,2
CHLRE_02g142650v5,1170,1789,1287,39,48,103,269,309,648,166,856,593,997,606,2173,796,199,22,332
CHLRE_02g142667v5,130,135,67,8,9,55,17,48,23,10,207,200,93,144,31,86,14,0,12
CHLRE_02g142687v5,105,96,65,18,9,50,6,31,20,6,430,119,64,507,727,71,15,1,25
CHLRE_02g142700v5,73,138,56,2,2,11,13,4,27,6,163,213,171,197,458,172,17,5,14
CHLRE_02g142707v5,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
CHLRE_02g142727v5,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CHLRE_02g142747v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g142750v5,18,65,30,8,5,27,13,7,8,4,52,65,46,0,0,125,11,0,18
CHLRE_02g142767v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g142787v5,5,5,0,0,0,1,0,3,0,0,1,0,0,0,5,0,2,0,0
CHLRE_02g142800v5,1200,1272,1371,39,36,223,181,209,234,117,2094,2386,1998,2199,4916,1429,118,24,486
CHLRE_02g142807v5,2,0,1,1,1,1,0,0,0,0,9,1,1,0,1,0,0,0,1
CHLRE_02g142827v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g142847v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g142850v5,334,366,307,10,7,22,54,81,70,33,207,642,571,418,1337,149,5,0,46
CHLRE_02g142852v5,0,2,1,0,0,8,0,0,0,0,0,6,2,0,0,7,0,1,7
CHLRE_02g142867v5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g142887v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g142900v5,2,15,5,0,0,0,2,0,0,2,9,26,35,0,4,41,0,4,15
CHLRE_02g142907v5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g142927v5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g142947v5,7,6,2,1,0,3,1,1,0,0,7,12,12,0,28,11,0,0,2
CHLRE_02g142950v5,543,634,566,35,19,82,55,166,66,35,344,336,206,182,282,199,21,11,99
CHLRE_02g142967v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g142987v5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CHLRE_02g143000v5,1878,1602,1940,100,156,293,379,675,651,229,2622,3090,2378,1970,5076,1305,55,16,145
CHLRE_02g143007v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g143027v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g143047v5,20,15,10,2,1,3,2,0,2,3,46,30,6,35,14,10,1,1,4
CHLRE_02g143050v5,49340,56390,61074,1945,1427,12555,10022,19580,10757,3752,62418,88987,64697,55944,109674,35079,5383,1150,11052
CHLRE_02g143052v5,66,64,54,4,3,34,17,7,32,5,37,32,55,0,130,21,19,5,39
CHLRE_02g143067v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CHLRE_02g143087v5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CHLRE_02g143107v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g143127v5,0,0,0,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,0
CHLRE_02g143147v5,0,1,0,0,0,2,1,0,0,0,0,2,1,0,2,0,0,0,0
CHLRE_02g143150v5,22,30,35,3,0,4,6,4,9,9,165,273,109,3,241,121,25,1,49
CHLRE_02g143151v5,6,23,9,1,0,1,5,4,4,0,0,18,33,0,0,9,0,0,7
CHLRE_02g143167v5,1,3,2,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,2
CHLRE_02g143187v5,2,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
CHLRE_02g143200v5,298,651,618,5,7,79,104,86,139,68,875,1234,1318,1500,1536,645,81,25,757
CHLRE_02g143207v5,1,5,0,0,1,0,0,0,0,0,0,3,1,0,14,1,0,0,0
CHLRE_02g143227v5,58,39,35,8,1,18,7,20,13,3,69,102,27,0,0,21,9,0,0
CHLRE_02g143247v5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CHLRE_02g143250v5,7839,8361,8080,169,180,667,620,1030,1062,551,7813,9558,5226,6199,9257,4276,380,154,1000
CHLRE_02g143267v5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g143287v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g143300v5,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CHLRE_02g143307v5,4642,5080,5534,195,173,781,719,739,1036,362,5402,8137,5933,5262,11645,2966,317,77,1204
CHLRE_02g143327v5,0,4,0,0,0,4,0,0,1,0,0,21,9,0,0,0,0,0,7
CHLRE_02g143347v5,19,21,1,0,0,0,6,1,0,0,3,25,9,97,226,20,1,0,16
CHLRE_02g143350v5,442,666,253,19,20,30,78,40,130,62,618,641,324,492,565,376,57,6,86
CHLRE_02g143352v5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
CHLRE_02g143367v5,995,589,630,6,22,19,60,215,71,44,283,541,95,123,180,110,5,0,7
CHLRE_02g143387v5,19,15,24,0,0,0,2,0,1,3,0,2,0,0,0,0,0,0,0
CHLRE_02g143392v5,43,45,36,1,3,8,3,10,6,6,82,84,97,80,126,25,2,5,19
CHLRE_02g143400v5,751,819,662,27,33,62,168,168,351,128,1160,1453,578,579,795,515,93,19,103
CHLRE_02g143407v5,87,62,85,8,21,41,24,19,42,14,120,95,231,217,419,126,21,7,23
CHLRE_02g143427v5,237,285,242,12,13,48,19,44,40,17,100,146,91,88,150,98,6,5,19
CHLRE_02g143447v5,0,1,0,3,5,9,0,10,0,0,0,7,6,20,0,0,0,0,0
CHLRE_02g143450v5,123,135,134,8,14,11,73,239,49,19,78,158,26,50,53,34,1,0,8
CHLRE_02g143467v5,663,1006,512,51,68,263,136,207,203,65,1550,1839,1230,672,2184,1012,165,29,450
CHLRE_02g143487v5,201,213,151,6,7,28,50,50,84,28,344,292,286,113,1084,214,30,6,55
CHLRE_02g143500v5,44,42,45,0,0,13,9,18,10,7,141,160,71,115,180,82,8,3,24
CHLRE_02g143507v5,62,39,43,10,7,42,10,5,32,7,93,59,113,102,188,70,18,6,7
CHLRE_02g143527v5,88,113,88,2,1,12,11,16,14,5,70,22,18,0,0,15,2,0,9
CHLRE_02g143547v5,14,55,24,0,0,1,8,2,3,0,37,13,58,77,91,39,1,0,16
CHLRE_02g143550v5,3611,3357,3190,515,392,1698,1108,3455,897,330,1305,1682,1925,2339,3674,696,34,5,106
CHLRE_02g143567v5,120,256,133,0,1,9,18,44,17,15,195,282,164,1,372,233,12,11,59
CHLRE_02g143587v5,11,28,24,0,2,2,2,0,4,1,26,34,56,0,18,46,2,0,1
CHLRE_02g143600v5,5,20,11,0,0,2,1,0,3,3,15,17,48,123,125,6,3,0,13
CHLRE_02g143607v5,5,8,6,22,12,50,0,12,0,0,135,101,75,42,45,193,10,1,58
CHLRE_02g143627v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g143635v5,1398,2127,1233,66,73,226,230,273,315,142,2250,2409,1987,1301,3186,1862,89,7,388
CHLRE_02g143647v5,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
CHLRE_02g143650v5,641,1046,623,21,14,64,163,124,209,86,110,204,169,284,385,68,34,8,104
CHLRE_02g143667v5,276,435,276,23,12,49,33,69,33,20,331,641,350,368,464,365,8,0,50
CHLRE_02g143800v5,11,15,8,3,1,8,2,2,3,0,19,14,33,0,41,14,1,0,2
CHLRE_02g143801v5,18,10,3,0,0,0,0,3,0,0,1,3,21,0,0,0,2,3,2
CHLRE_02g143850v5,1,11,3,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0
CHLRE_02g143858v5,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0
CHLRE_02g143861v5,5,23,4,1,1,0,0,4,5,0,37,7,10,2,17,4,0,5,0
CHLRE_02g143900v5,4,2,5,1,0,6,0,5,1,0,41,10,3,0,0,10,0,1,2
CHLRE_02g144000v5,346,610,359,14,8,27,60,69,40,39,234,290,231,169,284,197,6,0,76
CHLRE_02g144001v5,15,32,12,0,0,0,1,0,1,1,15,93,87,3,96,30,0,0,12
CHLRE_02g144002v5,17,25,19,0,1,0,4,0,5,4,43,43,41,25,140,8,0,0,7
CHLRE_02g144004v5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g144005v5,314,680,237,279,272,514,185,570,77,38,1119,1109,890,1236,1607,1229,57,17,273
CHLRE_02g144006v5,48,152,76,1,1,15,10,5,18,12,203,123,108,70,147,127,7,4,46
CHLRE_02g144007v5,1,1,0,0,0,0,0,0,3,0,0,3,12,0,0,0,1,0,0
CHLRE_02g144008v5,21,25,15,1,4,1,2,7,2,1,53,28,39,0,0,8,10,0,6
CHLRE_02g144009v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
CHLRE_02g144010v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g144050v5,370,496,273,18,22,73,52,115,68,27,649,576,298,409,748,254,17,2,99
CHLRE_02g144100v5,531,610,544,57,72,181,102,248,140,93,1171,1706,1060,940,1425,644,45,13,193
CHLRE_02g144250v5,46,158,61,0,1,4,13,2,9,2,103,186,140,39,343,110,4,0,16
CHLRE_02g144251v5,126,286,174,6,7,30,35,35,77,28,531,782,443,480,433,250,17,0,101
CHLRE_02g144252v5,46,49,46,2,4,6,15,15,25,5,49,51,66,100,44,26,8,0,11
CHLRE_02g144300v5,233,297,163,16,25,55,42,83,36,19,298,491,241,341,631,202,18,3,50
CHLRE_02g144350v5,1159,1795,471,32,41,115,94,161,187,89,1130,1126,461,650,902,664,44,8,156
CHLRE_02g144400v5,143,172,133,2,8,33,15,38,27,10,125,212,94,0,138,137,16,0,46
CHLRE_02g144450v5,2417,3532,760,10,26,57,142,111,272,168,1135,1283,307,301,851,949,31,6,70
CHLRE_02g144500v5,28,48,55,0,8,10,10,28,16,11,75,112,172,80,396,53,9,1,63
CHLRE_02g144550v5,0,0,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0
CHLRE_02g144600v5,25,30,3,3,3,2,5,33,0,0,67,33,35,104,39,33,1,0,8
CHLRE_02g144605v5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
CHLRE_02g144606v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g144650v5,11,14,7,34853,47037,65142,28777,143371,98,0,91672,26448,58757,51405,102717,108642,1837,130,3208
CHLRE_02g144700v5,30,15,12,298,334,728,427,878,220,14,1669,1426,1633,1812,3691,1275,191,177,1154
CHLRE_02g144734v5,0,0,0,23,18,46,12,78,3,0,131,34,154,148,317,81,1,2,0
CHLRE_02g144750v5,3219,3548,293,3872,3970,19417,5022,6936,7830,1458,75515,72489,17596,13202,30380,60856,5312,863,20149
CHLRE_02g144800v5,7624,8295,7051,61,67,380,779,470,1534,659,3527,4513,2423,3026,5418,2376,142,30,655
CHLRE_02g144802v5,0,2,0,0,1,3,0,0,1,0,0,3,5,0,44,6,1,0,3
CHLRE_02g144850v5,440,655,348,7,17,74,98,179,123,49,455,1119,600,696,958,151,20,0,88
CHLRE_02g144900v5,133,189,164,7,3,30,13,13,15,13,262,416,223,542,244,219,25,3,81
CHLRE_02g144950v5,1445,2143,1603,69,73,283,226,238,432,186,2386,2057,1423,881,2441,1869,176,18,459
CHLRE_02g145000v5,164,163,77,3,2,6,31,35,34,11,243,278,237,144,237,89,5,3,9
CHLRE_02g145050v5,69,64,40,4,4,6,18,40,15,6,73,327,64,0,318,0,8,0,4
CHLRE_02g145100v5,1452,3806,221,436,751,857,1107,4205,842,403,3291,2708,3782,2877,5257,3283,237,44,548
CHLRE_02g145133v5,152,365,144,4,11,32,25,35,61,21,378,423,262,217,392,311,17,0,90
CHLRE_02g145150v5,361,549,345,26,51,156,77,166,67,38,940,1223,672,460,754,919,78,14,302
CHLRE_02g145200v5,40,102,41,15,12,82,22,83,8,7,523,631,344,160,401,400,13,3,186
CHLRE_02g145231v5,685,856,616,15,22,66,64,108,139,82,762,1430,1054,1070,1541,591,89,33,139
CHLRE_02g145250v5,5243,4856,4964,206,262,1227,944,1372,1303,526,4167,5390,3135,3531,5421,2254,786,166,1603
CHLRE_02g145300v5,871,751,704,44,45,148,103,250,131,72,954,1132,595,676,1513,459,66,11,117
CHLRE_02g145350v5,1009,1769,684,139,150,588,125,311,104,48,1090,616,438,57,845,1229,134,24,445
CHLRE_02g145450v5,2276,2247,1989,69,69,192,235,336,379,128,2127,1972,1210,1571,2419,1780,226,31,331
CHLRE_02g145451v5,41,54,11,130,189,306,281,1272,74,8,236,113,940,839,2161,264,17,1,56
CHLRE_02g145452v5,69,120,89,9,9,9,16,21,16,7,106,295,146,116,275,110,6,6,25
CHLRE_02g145500v5,3872,3720,2893,141,189,571,500,680,846,338,1976,2403,1365,1463,2906,1734,253,52,732
CHLRE_02g145502v5,67,49,29,31,45,70,67,179,54,14,534,360,122,116,270,320,1,0,12
CHLRE_02g145550v5,318,308,183,40,49,83,39,114,52,17,338,371,224,329,246,200,5,4,41
CHLRE_02g145600v5,163,232,145,5,1,16,51,29,100,24,163,397,259,107,296,195,14,1,31
CHLRE_02g145602v5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
CHLRE_02g145628v5,1737,2276,1413,12,32,32,227,146,497,217,1602,2412,1264,984,2220,716,69,14,144
CHLRE_02g145630v5,54,48,41,0,0,4,8,0,15,8,20,12,31,89,0,2,5,0,18
CHLRE_02g145650v5,28,63,66,3,3,3,18,29,11,12,268,216,54,76,45,183,13,3,45
CHLRE_02g145700v5,385,422,301,12,14,68,31,65,84,33,555,709,397,432,575,330,115,8,102
CHLRE_02g145750v5,2,3,0,0,0,5,0,0,2,0,0,2,9,0,74,0,0,0,7
CHLRE_02g145800v5,2468,3041,2541,241,294,808,425,1198,458,156,3581,4512,3863,4969,7035,2265,331,71,949
CHLRE_02g145850v5,2038,3512,596,14,22,59,228,132,428,201,1035,1674,318,184,391,838,22,10,87
CHLRE_02g145900v5,831,1244,297,7,7,19,95,22,156,104,390,412,112,117,292,289,15,7,36
CHLRE_02g145902v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_02g145950v5,1153,3445,328,329,530,751,497,2471,55,45,1643,978,426,449,570,1429,112,41,258
CHLRE_02g146000v5,182,371,237,4,5,28,52,36,71,31,438,890,707,347,898,374,42,2,93
CHLRE_02g146050v5,150,300,296,9,7,51,39,43,28,26,536,568,418,298,667,346,25,1,123
CHLRE_02g146100v5,3195,3502,1977,50,71,171,342,242,696,332,1552,2315,1008,1006,1573,1209,74,9,120
